2026-02-12 at 18:48:09 | INFO | Бот запущен...
2026-02-12 at 18:48:10 | INFO | Бот успешно запущен.
2026-02-12 at 18:48:10 | SUCCESS | Вебхук установлен: https://s0508hp5-8000.euw.devtunnels.ms/webhook
2026-02-12 at 18:48:42 | INFO | Получен запрос с вебхука.
2026-02-12 at 18:48:42 | ERROR | Ошибка при обработке обновления с вебхука: Default key builder is not configured to use key destiny other than the default.

Probably, you should set `with_destiny=True` in for DefaultKeyBuilder.
2026-02-14 at 16:46:41 | INFO | Бот запущен...
2026-02-14 at 16:46:41 | INFO | Бот успешно запущен.
2026-02-14 at 16:46:41 | SUCCESS | Вебхук установлен: https://6dp37vhl-8000.euw.devtunnels.ms/webhook
2026-02-14 at 16:46:56 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:46:56 | ERROR | Ошибка при обработке обновления с вебхука: Default key builder is not configured to use key destiny other than the default.

Probably, you should set `with_destiny=True` in for DefaultKeyBuilder.
2026-02-14 at 16:50:27 | INFO | Бот запущен...
2026-02-14 at 16:50:28 | INFO | Бот успешно запущен.
2026-02-14 at 16:50:28 | SUCCESS | Вебхук установлен: https://6dp37vhl-8000.euw.devtunnels.ms/webhook
2026-02-14 at 16:50:28 | INFO | Бот остановлен...
2026-02-14 at 16:50:28 | ERROR | Бот остановлен!
2026-02-14 at 16:50:52 | INFO | Бот запущен...
2026-02-14 at 16:50:52 | INFO | Бот успешно запущен.
2026-02-14 at 16:50:52 | SUCCESS | Вебхук установлен: https://6dp37vhl-8000.euw.devtunnels.ms/webhook
2026-02-14 at 16:50:52 | INFO | Бот остановлен...
2026-02-14 at 16:50:52 | ERROR | Бот остановлен!
2026-02-14 at 16:54:15 | INFO | Бот запущен...
2026-02-14 at 16:54:15 | INFO | Бот успешно запущен.
2026-02-14 at 16:54:15 | SUCCESS | Вебхук установлен: https://6dp37vhl-8000.euw.devtunnels.ms/webhook
2026-02-14 at 16:54:25 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:54:25 | INFO | Обновление успешно обработано.
2026-02-14 at 16:54:36 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:54:36 | INFO | Обновление успешно обработано.
2026-02-14 at 16:54:38 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:54:39 | INFO | Обновление успешно обработано.
2026-02-14 at 16:55:25 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:55:25 | INFO | Обновление успешно обработано.
2026-02-14 at 16:55:30 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:55:30 | INFO | Поиск всех записей Room по фильтрам: {}
2026-02-14 at 16:55:30 | INFO | Найдено 0 записей.
2026-02-14 at 16:55:30 | INFO | Обновление успешно обработано.
2026-02-14 at 16:55:40 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:55:40 | INFO | Обновление успешно обработано.
2026-02-14 at 16:55:51 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:55:51 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:06 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:06 | INFO | Поиск одной записи User по фильтрам: {'phone_nom': 89515273806}
2026-02-14 at 16:56:06 | INFO | Запись не найдена по фильтрам: {'phone_nom': 89515273806}
2026-02-14 at 16:56:06 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:10 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:10 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:16 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:16 | INFO | Поиск всех записей Room по фильтрам: {}
2026-02-14 at 16:56:16 | INFO | Найдено 0 записей.
2026-02-14 at 16:56:16 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:23 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:23 | ERROR | Ошибка при обработке обновления с вебхука: Cannot go to a non-existent state.The state of -1 idx is requested, but states idx should be positivecurrent state is <State 'MyBookingState:room'>
2026-02-14 at 16:56:28 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:28 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:48 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:48 | INFO | Поиск всех записей Room по фильтрам: {}
2026-02-14 at 16:56:48 | INFO | Найдено 0 записей.
2026-02-14 at 16:56:48 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:55 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:55 | INFO | Обновление успешно обработано.
2026-02-14 at 16:56:58 | INFO | Получен запрос с вебхука.
2026-02-14 at 16:56:59 | INFO | Обновление успешно обработано.
